vehicle_type,year_month,trip_count
fhv,2015-02,483
fhv,2015-06,5
fhv,2015-07,191
fhv,2016-06,201
fhv,2016-07,201
fhv,2016-08,223
fhv,2016-09,227
fhv,2016-10,216
fhv,2016-12,7
fhv,2017-01,324
fhv,2017-02,8
fhv,2017-03,51
fhv,2017-04,88
fhv,2017-05,286
fhv,2017-06,15071869
fhv,2017-07,15415367
fhv,2017-08,15681969
fhv,2017-09,16424519
fhv,2017-10,17706462
fhv,2017-11,17873432
fhv,2017-12,19763728
fhv,2018-01,19584278
fhv,2018-02,19167126
fhv,2018-03,21805504
fhv,2018-04,20894756
fhv,2018-05,21399699
fhv,2018-06,20961994
fhv,2018-07,21453255
fhv,2018-08,21967371
fhv,2018-09,22017650
fhv,2018-10,23203966
fhv,2018-11,22829849
fhv,2018-12,23841712
fhv,2019-01,23116313
fhv,2019-02,1673176
fhv,2019-03,1435111
fhv,2019-04,1893473
fhv,2019-05,2023336
fhv,2019-06,1969005
fhv,2019-07,1912018
fhv,2019-08,1846559
fhv,2019-09,1223891
fhv,2019-10,1860311
fhv,2019-11,1850231
fhv,2019-12,2010430
fhv,2020-01,1996695
fhv,2020-02,1882069
fhv,2020-03,1417715
fhv,2020-04,557573
fhv,2020-05,762703
fhv,2020-06,1000790
fhv,2020-07,1116108
fhv,2020-08,1165800
fhv,2020-09,1252938
fhv,2020-10,1240973
fhv,2020-11,1188534
fhv,2020-12,1152084
fhv,2021-01,1141655
fhv,2021-02,1028230
fhv,2021-03,1290045
fhv,2021-04,1251066
fhv,2021-05,1251211
fhv,2021-06,1297043
fhv,2021-07,1222254
fhv,2021-08,1189626
fhv,2021-09,1166882
fhv,2021-10,1265319
fhv,2021-11,1217575
fhv,2021-12,1328915
fhv,2022-01,1134031
fhv,2022-02,1240852
fhv,2022-03,1369276
fhv,2022-04,1236367
fhv,2022-05,1246338
fhv,2022-06,1186836
fhv,2022-07,1149412
fhv,2022-08,1140662
fhv,2022-09,1151879
fhv,2022-10,1166742
fhv,2022-11,1096842
fhv,2022-12,1275363
fhv,2023-01,1106479
fhv,2023-02,1102419
fhv,2023-03,1317986
fhv,2023-04,1237182
fhv,2023-05,1376906
fhv,2023-06,1211853
fhv,2023-07,1362494
fhv,2023-08,1432184
fhv,2023-09,1285610
fhv,2023-10,1618977
fhv,2023-11,1336841
fhv,2023-12,1369749
fhv,2024-01,1283150
fhv,2024-02,1169300
fhv,2024-03,1461248
fhv,2024-04,1437291
fhv,2024-05,1344888
fhv,2024-06,1378721
fhv,2024-07,1376795
fhv,2024-08,1477751
fhv,2024-09,1710996
fhv,2024-10,1415007
fhv,2024-11,1584791
fhv,2024-12,1906482
fhv,2025-01,1890768
fhv,2025-02,1571389
fhv,2025-03,2175377
fhv,2025-04,1692974
fhv,2025-05,2201884
fhv,2025-06,2223248
fhv,2025-07,2179201
fhv,2025-08,2250060
fhv,2025-09,2141518
fhv,2025-10,2440241
fhv,2025-11,2270238
green,2008-10,1
green,2008-12,93
green,2009-01,275
green,2010-09,262
green,2012-09,3
green,2015-01,1485275
green,2015-02,1551883
green,2015-03,1696267
green,2015-04,1639542
green,2015-05,1761686
green,2015-06,1614112
green,2015-07,1518610
green,2015-08,1509431
green,2015-09,1466868
green,2015-10,1598448
green,2015-11,1498294
green,2015-12,1575725
green,2016-01,1414333
green,2016-02,1480610
green,2016-03,1544450
green,2016-04,1512655
green,2016-05,1505186
green,2016-06,1375650
green,2016-07,1304416
green,2016-08,1221933
green,2016-09,1138231
green,2016-10,1228741
green,2016-11,1126337
green,2016-12,1200194
green,2017-01,1049390
green,2017-02,1002720
green,2017-03,1136433
green,2017-04,1060994
green,2017-05,1040396
green,2017-06,959242
green,2017-07,897912
green,2017-08,851804
green,2017-09,867218
green,2017-10,909752
green,2017-11,858471
green,2017-12,889781
green,2018-01,778572
green,2018-02,756621
green,2018-03,821816
green,2018-04,785700
green,2018-05,782663
green,2018-06,725855
green,2018-07,672555
green,2018-08,664009
green,2018-09,670112
green,2018-10,719197
green,2018-11,661465
green,2018-12,706062
green,2019-01,657382
green,2019-02,602161
green,2019-03,629548
green,2019-04,556328
green,2019-05,535118
green,2019-06,496417
green,2019-07,461105
green,2019-08,440013
green,2019-09,439595
green,2019-10,466992
green,2019-11,424757
green,2019-12,443960
green,2020-01,439326
green,2020-02,391519
green,2020-03,219239
green,2020-04,34727
green,2020-05,56109
green,2020-06,61785
green,2020-07,70703
green,2020-08,79435
green,2020-09,86351
green,2020-10,93279
green,2020-11,86831
green,2020-12,81522
green,2021-01,75108
green,2021-02,63507
green,2021-03,82445
green,2021-04,85470
green,2021-05,86501
green,2021-06,84921
green,2021-07,81768
green,2021-08,81569
green,2021-09,93224
green,2021-10,108184
green,2021-11,105498
green,2021-12,97208
green,2022-01,60452
green,2022-02,67225
green,2022-03,75982
green,2022-04,73902
green,2022-05,74457
green,2022-06,71149
green,2022-07,61850
green,2022-08,63567
green,2022-09,66506
green,2022-10,66829
green,2022-11,60036
green,2022-12,70000
green,2023-01,66567
green,2023-02,63193
green,2023-03,70252
green,2023-04,63722
green,2023-05,67297
green,2023-06,63770
green,2023-07,59532
green,2023-08,58689
green,2023-09,63254
green,2023-10,64280
green,2023-11,62249
green,2023-12,62426
green,2024-01,54911
green,2024-02,52031
green,2024-03,55839
green,2024-04,54772
green,2024-05,59093
green,2024-06,53019
green,2024-07,50078
green,2024-08,49977
green,2024-09,52638
green,2024-10,54401
green,2024-11,50560
green,2024-12,52143
green,2025-01,46723
green,2025-02,44816
green,2025-03,49322
green,2025-04,49983
green,2025-05,53145
green,2025-06,47189
green,2025-07,46493
green,2025-08,44516
green,2025-09,47346
green,2025-10,47901
green,2025-11,45433
green,2025-12,13
green,2030-11,1
green,2035-09,1
green,2041-08,1
green,2081-06,1
yellow,2001-01,17
yellow,2001-02,1
yellow,2001-08,1
yellow,2002-02,9
yellow,2002-10,227
yellow,2002-12,29
yellow,2003-01,30
yellow,2003-12,1
yellow,2007-12,1
yellow,2008-08,2
yellow,2008-12,598
yellow,2009-01,1057
yellow,2011-01,2
yellow,2011-02,1
yellow,2014-11,1
yellow,2015-01,12662094
yellow,2015-02,12364651
yellow,2015-03,13257128
yellow,2015-04,12982037
yellow,2015-05,13069952
yellow,2015-06,12242534
yellow,2015-07,11482863
yellow,2015-08,11049741
yellow,2015-09,11136853
yellow,2015-10,12218199
yellow,2015-11,11217224
yellow,2015-12,11369872
yellow,2016-01,10827557
yellow,2016-02,11298441
yellow,2016-03,12119157
yellow,2016-04,11837459
yellow,2016-05,11747794
yellow,2016-06,11050776
yellow,2016-07,10215761
yellow,2016-08,9868090
yellow,2016-09,10040505
yellow,2016-10,10773401
yellow,2016-11,10022896
yellow,2016-12,10368948
yellow,2017-01,9640737
yellow,2017-02,9103238
yellow,2017-03,10217988
yellow,2017-04,9968420
yellow,2017-05,10024598
yellow,2017-06,9581742
yellow,2017-07,8517364
yellow,2017-08,8353237
yellow,2017-09,8873119
yellow,2017-10,9689342
yellow,2017-11,9207453
yellow,2017-12,9431269
yellow,2018-01,8691636
yellow,2018-02,8427796
yellow,2018-03,9352737
yellow,2018-04,9230828
yellow,2018-05,9148409
yellow,2018-06,8637048
yellow,2018-07,7777660
yellow,2018-08,7781862
yellow,2018-09,7973357
yellow,2018-10,8746209
yellow,2018-11,8074025
yellow,2018-12,8110562
yellow,2019-01,7618834
yellow,2019-02,6976953
yellow,2019-03,7787056
yellow,2019-04,7400031
yellow,2019-05,7514695
yellow,2019-06,6887045
yellow,2019-07,6231281
yellow,2019-08,5994145
yellow,2019-09,6486135
yellow,2019-10,7126582
yellow,2019-11,6785887
yellow,2019-12,6804274
yellow,2020-01,6322650
yellow,2020-02,6222782
yellow,2020-03,2969277
yellow,2020-04,234039
yellow,2020-05,342718
yellow,2020-06,541435
yellow,2020-07,788578
yellow,2020-08,992583
yellow,2020-09,1318294
yellow,2020-10,1653600
yellow,2020-11,1484285
yellow,2020-12,1436456
yellow,2021-01,1345688
yellow,2021-02,1346282
yellow,2021-03,1893873
yellow,2021-04,2139782
yellow,2021-05,2471054
yellow,2021-06,2793719
yellow,2021-07,2778479
yellow,2021-08,2744569
yellow,2021-09,2920234
yellow,2021-10,3416482
yellow,2021-11,3424239
yellow,2021-12,3165260
yellow,2022-01,2427631
yellow,2022-02,2937442
yellow,2022-03,3572813
yellow,2022-04,3542939
yellow,2022-05,3527850
yellow,2022-06,3490325
yellow,2022-07,3116285
yellow,2022-08,3094414
yellow,2022-09,3126732
yellow,2022-10,3605466
yellow,2022-11,3189165
yellow,2022-12,3335282
yellow,2023-01,3016388
yellow,2023-02,2865627
yellow,2023-03,3345548
yellow,2023-04,3231040
yellow,2023-05,3452443
yellow,2023-06,3247950
yellow,2023-07,2849805
yellow,2023-08,2767920
yellow,2023-09,2792619
yellow,2023-10,3454958
yellow,2023-11,3273968
yellow,2023-12,3303902
yellow,2024-01,2901798
yellow,2024-02,2942662
yellow,2024-03,3495191
yellow,2024-04,3427903
yellow,2024-05,3632632
yellow,2024-06,3447112
yellow,2024-07,2988789
yellow,2024-08,2890623
yellow,2024-09,3527717
yellow,2024-10,3725839
yellow,2024-11,3543513
yellow,2024-12,3556592
yellow,2025-01,3303665
yellow,2025-02,3366135
yellow,2025-03,3884923
yellow,2025-04,3717996
yellow,2025-05,4166896
yellow,2025-06,3944448
yellow,2025-07,3563092
yellow,2025-08,3230990
yellow,2025-09,3904459
yellow,2025-10,4002303
yellow,2025-11,3690880
yellow,2026-02,2
yellow,2026-06,1
yellow,2026-12,1
yellow,2028-12,1
yellow,2029-05,3
yellow,2029-11,3
yellow,2031-02,2
yellow,2032-02,1
yellow,2033-04,3
yellow,2037-11,1
yellow,2038-02,3
yellow,2041-03,1
yellow,2041-06,1
yellow,2041-11,1
yellow,2042-12,1
yellow,2053-03,1
yellow,2058-12,3
yellow,2066-12,1
yellow,2084-11,8
yellow,2088-01,2
yellow,2090-12,1
yellow,2098-09,1
